Source,Target
FOLTHP-2,PURHAM
JOHASA-13,PURHAM
JOHHAF-3,PURHAM
CARPEA-9,PURHAM
FOLFOT,PURHAM
UNRAHA,PURHAM
DUNCAT-6,PURHAM
JINRAT,KAIRAD-3
SILDFA-2,KAIRAD-3
KAIMOD,KAIRAD-3
AMAQWI,KAIRAD-3
BOUDOE,KAIRAD-3
DEMMMI-4,KAIRAD-3
DEMNNB,KAIRAD-3
STOGAA-3,KAIRAD-3
GENECS,PAVSIE-2
KH-4,PAVSIE-2
JANAPK-2,PAVSIE-2
LWECAA,PAVSIE-2
LWEWDU,PAVSIE-2
BEDMVE,PAVSIE-2
HAJAFE,PAVSIE-2
JANGAG,PAVSIE-2
PAVKAA,PAVSIE-2
HABKAA,PAVSIE-2
PEETK,PAVSIE-2
HABTGP,PAVSIE-2
PAVKAG,PAVSIE-2
LWEKAC,PAVSIE-2
JOSKIA,PAVSIE-2
HORHWI,PAVSIE-2
CARTKS-3,PAVSIE-2
HUTAIA,PAVSIE-2
HABCPK-2,PAVSIE-2
TSAHAR,PAVSIE-2
GLATPO-19,PAVSIE-2
SHETSO-32,PAVSIE-2
XIAGKO,PAVSIE-2
SHEPSA-3,PAVSIE-2
SPRAIR,PAVSIE-2
SPRMMM,PAVSIE-2
FELTFT,PAVSIE-2
KEAWWK,PAVSIE-2
VALKWY,PAVSIE-2
KHAISA-2,PAVSIE-2
NOTSPK,PAVSIE-2
WAIKIT,PAVSIE-2
SHIISA-4,PAVSIE-2
INEDBS,PUGCTN
SMIAOP-4,PUGCTN
ZUKRVO,PUGCTN
LEUMMA,PUGCTN
HOLCDA-8,PUGCTN
COITAO,PUGCTN
GILIEI-3,PUGCTN
GILEII-3,PUGCTN
HOLANO-15,PUGCTN
GILCBD,PUGCTN
RAINAH,PUGCTN
GILITF-2,PUGCTN
MCCNAA-5,PUGCTN
TANISR,PUGCTN
HAECNA,PUGCTN
GILDTD-3,PUGCTN
NYHTEO-3,DEJTRA
BERUMR,DEJTRA
OIMWCR,DEJTRA
MUNTVO-2,DEJTRA
OIMTRG,DEJTRA
KIECWB,DEJTRA
HANSVE,DEJTRA
TIGTIN,DEJTRA
KRADTR,DEJTRA
FRAURE,DEJTRA
OIMCTT,DEJTRA
KLICOU,DEJTRA
NYHGSE,DEJTRA
AKMAFR,DEJTRA
LIUPCO,DEJTRA
SOLSHL,DEJTRA
SOLCES,DEJTRA
SARER-3,DEJTRA
HUGEDA,HUGEFL
MCWEAE,HUGEFL
FLODAE,HUGEFL
WOOENO,HUGEFL
HUGEWG,HUGEFL
HUGEDD,HUGEFL
HUGWAO,HUGEFL
GORTAO-18,NGUAAA
KUBAO-3,NGUAAA
MARNEA-9,NGUAAA
KUBAPA,NGUAAA
NGUTAS,NGUAAA
HILATU,NGUAAA
NGUTAO-8,NGUAAA
VANAHA,NGUAAA
GOROLA-3,NGUAAA
MARIAC-13,NGUAAA
BARSRF-2,NGUAAA
CHUTNA-2,NGUAAA
SENCAZ,NGUAAA
KUBNTO-2,NGUAAA
WILAAC-21,NGUAAA
RIGAAA-2,NGUAAA
HANTHO-5,NGUAAA
DOVTKO,NGUAAA
NGUAAA-3,NGUAAA
FRIAAW,NGUAAA
WALLTU,NGUAAA
GONDPE-5,NGUAAA
BRUATA-3,NGUAAA
SACATA-3,NGUAAA
NGUEAO,NGUAAA
SINSAE-2,NGUAAA
FILMDT,NGUAAA
SUNCRI-2,NGUAAA
KINRNA-2,NGUAAA
MALTCO-26,NGUAAA
GORAK,NGUAAA
HURHMA,NGUAAA
WHIAAA-7,NGUAAA
PEAPEA,NGUAAA
KUKSAA,NGUAAA
RIGCCA-2,NGUAAA
GRATAE-9,NGUAAA
SHETCO-7,NGUAAA
SENTBM,NGUAAA
KUBABL,NGUAAA
KUBALA,NGUAAA
CUREEA-4,NGUAAA
CROACA-4,NGUAAA
TOOADW,NGUAAA
WILIRA-11,NGUAAA
MATAAA-8,NGUAAA
DRUWOA,NGUAAA
NANAEA-4,NGUAAA
ZANAJB,NGUAAA
HAYTIO-22,NGUAAA
CURCWA,NGUAAA
DALSWF,NGUAAA
KSTBAH,DINWSA-2
STEODA-3,DINWSA-2
GLADOS,DINWSA-2
GILEII-3,DINWSA-2
DINAPE-2,DINWSA-2
RATOFU,DINWSA-2
DINTRO-8,DINWSA-2
DROSAA,DINWSA-2
CAICO,GOOAA-3
GOOAAF-3,GOOAA-3
MAROAE-10,GOOAA-3
CLAMPA-14,GOOAA-3
BACC-8,GOOAA-3
BACATO-5,GOOAA-3
MARCAF-10,GOOAA-3
VEIIEI,VEIHCA
VEIHCA,VEIHCA
VEICAT,VEIHCA
VEITAC,VEIHCA
VEISNS,VEIHCA
VEIPCA,VEIHCA
VEIMIA,VEIHCA
VEIAT,VEIHCA
VEITOO,VEIHCA
VEIDTP,VEIHCA
PUSI,SAIGGS
FEHTE,SAIGGS
CHUHTU,SAIGGS
FISZI,SAIGGS
FISLSS-2,SAIGGS
WIEAAT-3,SAIGGS
EGLTPO,SAIGGS
LEEOTP-2,SAIGGS
FISISI-2,SAIGGS
EGLNHF,SAIGGS
SKOTES-2,SAIGGS
CARHAE-3,ROSHIV-3
UPATGA,ROSHIV-3
LIPADN-2,ROSHIV-3
BERMCH,ROSHIV-3
FRIASA-11,ROSHIV-3
FRITPO-49,ROSHIV-3
SNEELO,ROSHIV-3
BRUHAC,ROSHIV-3
GORAIA-6,MLLIIT
SHOTMS,MLLIIT
DUNUAA,MLLIIT
FRAETA-5,MLLIIT
MOOWIM-4,MLLIIT
NYHSRA,MLLIIT
COEHTD-2,MLLIIT
LHRRRI,MLLIIT
TOLTAT-2,MLLIIT
LOHSRA,MLLIIT
GORASR-2,MLLIIT
BICCAF-2,MLLIIT
MLLBII-4,MLLIIT
BARTUA-10,MLLIIT
GORMSA-6,MLLIIT
LLOACO-6,MLLIIT
MUSCDA-4,MLLIIT
DUNHTD-3,MLLIIT
TOLOAB,MLLIIT
SHOPTP,MLLIIT
GORIMS,MLLIIT
GAMAFC,MLLIIT
HANSVE,RYATFO-4
RYAIAW,RYATFO-4
RYAAIE,RYATFO-4
STAORT-3,RYATFO-4
KOCPAH,RYATFO-4
VRAITC,RYATFO-4
HIMNWB,RYATFO-4
SIEMEA-2,RYATFO-4
LUNEMD,RYATFO-4
FITTAE-2,PETNEO
GUPAEL,PETNEO
OMAEAF,PETNEO
PETCNI,PETNEO
OHEIEP,PETNEO
TENINC,PETNEO
AWAPCW,PETNEO
NEJULE,PETNEO
MANECT,PETNEO
MORTIA-17,HARTMC-8
FRITSP-4,HARTMC-8
DANMUA-2,HARTMC-8
HINHPI,HARTMC-8
GULBAA-5,HARTMC-8
JAYIAN-4,HARTMC-8
GARDAD-13,HARTMC-8
GIANPF-2,WALTSO-69
WALEEA-6,WALTSO-69
BROCAN-6,WALTSO-69
TAHPPA,WALTSO-69
BABOEI-2,WALTSO-69
BOVOTN,WALTSO-69
GILAIT-12,ERLDOD
INEDBS,ERLDOD
LEULMP,ERLDOD
SAWMTE,ERLDOD
PUGCTN,ERLDOD
GILIEI-3,ERLDOD
GILDTD-3,ERLDOD
NIITSO-2,RANTSV
CHUTNA-2,RANTSV
SJLNVI,RANTSV
KRIKFH,RANTSV
KRIPGO,RANTSV
KRIIMK,RANTSV
SENALP,LOMMIO
DIENBA,LOMMIO
CALQMA-3,LOMMIO
CONEA-2,LOMMIO
CASIOQ,LOMMIO
COHFRA-2,LOMMIO
HERPOQ,LOMMIO
BIRQMA-2,LOMMIO
LOMLCW,LOMMIO
COSAMO-2,LOMMIO
SURCPA-2,LOMMIO
FRIEA,LOMMIO
DIEOIP,LOMMIO
MCAPOS,LOMMIO
DICNQM,LOMMIO
DIEPIM,LOMMIO
HANTWF,LOMMIO
PASREI-3,LOMMIO
CALQIA-2,LOMMIO
MERFPA-2,LOMMIO
MERPQA,LOMMIO
OLDTBT,LOMMIO
DIEQRP,LOMMIO
LEEWGH,LOMMIO
DIEIQP-2,LOMMIO
WALIDO-10,LOMMIO
DACAMO,LOMMIO
KARCTA,LOMMIO
LOMAMI,LOMMIO
BERMIO,LOMMIO
MYRRQB,LOMMIO
PASQOA,LOMMIO
ADLTEF,LOMMIO
LOMHDI,LOMMIO
OLDOTC,LOMMIO
ALATUO,LOMMIO
FORANA-2,LOMMIO
GAMEOI,LOMMIO
FORPTI-2,LOMMIO
MYRCC,LOMMIO
NELFPO-2,LOMMIO
FREEEO-2,LOMMIO
LOMMIO,LOMMIO
DICMIO,LOMMIO
CALQMI-3,LOMMIO
LOMLCA,LOMMIO
EARQBA,LOMMIO
CALOTP-4,LOMMIO
MONODI,LOMMIO
ARDQMM,LOMMIO
PRUOTT,LOMMIO
HOLANC-2,LOMMIO
THOFAE-4,TADTDO-2
BUHDLM,TADTDO-2
FLOOIO-4,TADTDO-2
RUSCDS-3,TADTDO-2
TADTEG,TADTDO-2
FLOHTD,TADTDO-2
BURDPE,TADTDO-2
TADTCR,TADTDO-2
ORACEA,TADTDO-2
MITTEO-12,TADTDO-2
TAVSEA,TADTDO-2
NOOCAM,TADTDO-2
COLCAM,TADTDO-2
BERTCC-12,TADTDO-2
WILFFD,TADTDO-2
ORAAIA,TADTDO-2
PAGAAT-2,TADTDO-2
COHDPO-2,TADTDO-2
LAUHTC,QUELW
AXTNTA,QUELW
QUEFCE,QUELW
QUEMPT,QUELW
QUENCE,QUELW
MOLOCL,QUELW
FRIAPO-5,QUELW
BLUVUP-2,QUELW
QUEIFT,QUELW
SAGBEE-3,QUELW
QUETEO-3,QUELW
QUEWDT,QUELW
QUELAA,QUELW
VINWAT-3,QUELW
TESGST,QUELW
TESHFC,QUELW
BELCEB,QUELW
DOUTRF,ANDC
PUGARA,ANDC
BILSSA-2,ANDC
BREAAF,ANDC
BRESEP,ANDC
GARTTO-19,ANDC
CHREIC,ANDC
DNZUTE,ANDC
MANMIT-2,ANDC
SACWCI,ANDC
POWTEA,ANDC
VALCAG,ANDC
RABROL,ANDC
PENSWD,ANDC
ARVRAF-2,ANDC
ARVABD,ANDC
ELLMAC-2,ANDC
BOEATA-2,ANDC
WALWCF-2,ANDC
BENTPO-71,ANDC
RABTRO-6,ANDC
PAUTBO-3,ANDC
NEULFP,ANDC
HASCIB,ANDC
TRATEO-12,ANDC
LOIHTD,ANDC
KUSCAA,ANDC
QUIAHN,ANDC
LEELCR,ANDC
DNZWIF,ANDC
HERLVD-4,ANDC
GUBLLM,LISGAA-2
BUIEOA,LISGAA-2
MOECAA,LISGAA-2
NYHAIA,LISGAA-2
MOEACR,LISGAA-2
KARHAA-2,LISGAA-2
MOEGAF,LISGAA-2
MUNTVO-2,LISGAA-2
OIMTRG,LISGAA-2
LOHSRA,LISGAA-2
KIECWB,LISGAA-2
DANTAA-8,LISGAA-2
DANTCA-12,LISGAA-2
LISGR,LISGAA-2
FRAURE,LISGAA-2
OIMCTT,LISGAA-2
NYHGSE,LISGAA-2
CONBIO-3,LISGAA-2
BOUSRS-2,LISGAA-2
EBITAA,LISGAA-2
KNERGA,LISGAA-2
FERRGD,LISGAA-2
LEWWKO,LISGAA-2
DASAAI-3,LISGAA-2
BECTDI,LISGAA-2
BOOCAD,LISGAA-2
KORTMB,LISGAA-2
CONNAI,LISGAA-2
LAUSEP-2,FREAST-6
JALTIR,FREAST-6
NOBUVC,FREAST-6
MORCOB-11,FREAST-6
DEMVVI,FREAST-6
DISLAL,FREAST-6
SEITCC,FREAST-6
RUITED,FREAST-6
NEEDVI-2,FREAST-6
EPSSO,MILWSA-7
MILTMO-64,MILWSA-7
MICUNF,MILWSA-7
MILSOW,MILWSA-7
TASTCF,MILWSA-7
MILTAN-2,MILWSA-7
MILIRQ,MILWSA-7
LAUOPI-2,RUYCWM
RIERQM-2,RUYCWM
DORWOF,RUYCWM
PIEQAR,RUYCWM
CALTMC-2,RUYCWM
ESSRQM,RUYCWM
MUCARQ,RUYCWM
ADLDSN,RUYCWM
DORWOF-2,RUYCWM
ROSRTO-7,WOCPEA
DESDAE-5,WOCPEA
MOGPME,WOCPEA
PREAMD,WOCPEA
AMOMDI,WOCPEA
CHECSA-8,WOCPEA
SCHTSO-175,WOCPEA
ZIMEDC,WOCPEA
EMAEIF,WOCPEA
MOYECI-2,WOCPEA
GHAMDI,WOCPEA
KIMCMD,WOCPEA
DEFAIC,WOCPEA
HEECEC,WOCPEA
EPSEOA,WOCPEA
CARWAT-9,WOCPEA
ROSWRA,WOCPEA
GRNMDT,WOCPEA
TOMICO-2,DELTCM-5
DITCES,DELTCM-5
BLUPAF,DELTCM-5
MONMFM,DELTCM-5
THOSEM,DELTCM-5
BOGFMD,DELTCM-5
GILCTD-4,FRIAAO-11
GILCTD-3,FRIAAO-11
GILDTD-2,FRIAAO-11
STEWEE,FRIAAO-11
WEHAIE,FRIAAO-11
PREPAA-11,FRIAAO-11
TACWWY,FRIAAO-11
KUMCOU,FRIAAO-11
KGEWIT,FRIAAO-11
LYRMMT,FRIAAO-11
HOEROQ,SABIII
MASMEU,SABIII
PATSLA-2,SABIII
CHUTCF,SABIII
PATSLA-3,SABIII
CALOTR-5,SABIII
HARRAW-4,SABIII
JOHMOP,SABIII
FOSTSO-6,DIDSIT-2
MANARI,DIDSIT-2
MANOAC-2,DIDSIT-2
STOESF,DIDSIT-2
FOSTSO-8,DIDSIT-2
MARTPF-9,DIDSIT-2
BARPIT-7,DIDSIT-2
POTSAT-5,FLERFC
AROPAA,FLERFC
BOUECP,FLERFC
DEMSRS,FLERFC
DEMOMA,FLERFC
MITTCE-4,FLERFC
RADRTH-3,FLERFC
RADRTH-2,FLERFC
FRMDAC,SISGEI-2
CORGCA-5,SISGEI-2
ARJVAT,SISGEI-2
GONASC,SISGEI-2
MELETI-4,SISGEI-2
FRMSDI,SISGEI-2
DSORAP,SISGEI-2
PIAAAV,SISGEI-2
MEYMAT-4,SISGEI-2
PERMCA-9,SISGEI-2
CHUFHT-3,SISGEI-2
SASMTI-3,SISGEI-2
PEDVEM,SISGEI-2
BAUPOV,SISGEI-2
FRMACG,SISGEI-2
DIEPWM,SISGEI-2
SMIMST,SISGEI-2
SMIMST-2,SISGEI-2
SISHDI,SISGEI-2
FRMHTB,SISGEI-2
ZHAARA-5,DORRPM-3
THOIIE-2,DORRPM-3
ICHECZ,DORRPM-3
DORBCT,DORRPM-3
DOROIO,DORRPM-3
GOLSE,DORRPM-3
VANHPC,DORRPM-3
GRICPD,DORRPM-3
GNGECA,DORRPM-3
ALMPPR,DORRPM-3
GOL-5,DORRPM-3
YOUPCA,WAEWAE
CAPSCE-2,WAEWAE
STYAAA,WAEWAE
HEITEO-30,WAEWAE
BLEROP,WAEWAE
BRAAPF-4,WAEWAE
PERDEA-5,WAEWAE
DAMAPA-2,LHRDPS
LHRRRI,LHRDPS
LHRWAA,LHRDPS
LEMPCA,LHRDPS
LHRPPA,LHRDPS
ACQWMA,LHRDPS
BUIWCT,KEIBTW-2
HILNTO-2,KEIBTW-2
ETAF,KEIBTW-2
TAHNKE-2,KEIBTW-2
TAHNKM,KEIBTW-2
TAHPPA,KEIBTW-2
TAHLON,KEIBTW-2
TAHUOS,KEIBTW-2
PAGPUN,KEIBTW-2
HEIR-15,KEIBTW-2
BIRNK-2,KEIBTW-2
HINSTA-3,NOVAIA
BLAEGO,NOVAIA
ZEIODA,NOVAIA
LUCHOR,NOVAIA
ELSNRE,NOVAIA
KOUOTB,NOVAIA
BATAPF-2,NOVAIA
BREADU-2,NOVAIA
BALHPS,NOVAIA
JACTFF-3,CAMCOB
OBEGIR,CAMCOB
BROSI-3,CAMCOB
ETAF,CAMCOB
MOOTPH,CAMCOB
OBEMEA-2,CAMCOB
AITNAV,CAMCOB
BILARF-2,CAMCOB
OBEMFA,CAMCOB
OBENWF,CAMCOB
SZAOOD,CAMCOB
RASGAJ,CAMCOB
BARSRF-2,FLEHTE-2
DIXNHF,FLEHTE-2
KNOCRS-2,FLEHTE-2
FLEICA,FLEHTE-2
JACHLC,FLEHTE-2
KNOCVH-2,FLEHTE-2
STATAA-14,FLEHTE-2
FLEFAO,FLEHTE-2
FLEPWS,FLEHTE-2
EELSLF,FLEHTE-2
SARPWP,FLEHTE-2
JACDDA-2,FLEHTE-2
BORLFS-4,FLEHTE-2
BAKECA-6,RUSOTA-2
KOSPDA,RUSOTA-2
KACMUP-2,RUSOTA-2
RUSFSD,RUSOTA-2
CIBADF,RUSOTA-2
TARTEC-4,RUSOTA-2
SCHLPP-14,RUSOTA-2
TARAAS,RUSOTA-2
GOODTU,RUSOTA-2
BERPRI-4,CARMWT
ARAPIT,CARMWT
WALITQ,CARMWT
SEBEAQ,CARMWT
SEBKCE,CARMWT
AZHABV,CARMWT
MCQIDO,CARMWT
MCKSRO-2,CARMWT
BOGTBO-2,CARMWT
MANAOW-3,CARMWT
MANAOW-4,CARMWT
HATACE-2,DURWIA-3
RZEMLA,DURWIA-3
GROMLI-4,DURWIA-3
HARAOY,DURWIA-3
GROAOS-3,DURWIA-3
BUIEOA,DURWIA-3
ALVAAA-5,DURWIA-3
MAITRF,DURWIA-3
RUEJAP-6,DURWIA-3
FEREOT-6,DURWIA-3
SYMEIA,DURWIA-3
NICTIM-4,DURWIA-3
FERRGD,DURWIA-3
GRORIM-4,DURWIA-3
HARMCM-4,DURWIA-3
MURAAT-14,DURWIA-3
SONNOA,DURWIA-3
ROABBA-3,DURWIA-3
CHABAM-5,DURWIA-3
SCHCRB-3,DURWIA-3
AQUPEA,DURWIA-3
WADDTU,DURWIA-3
POPKJA,DURWIA-3
BROPEA-7,DURWIA-3
LAAHDA,DURWIA-3
FERDPO-2,DURWIA-3
MISTAR,DURWIA-3
GROTMA-4,DURWIA-3
NAGJAT,DURWIA-3
HEROTE-3,DURWIA-3
POZTII,DURWIA-3
FUNAAI,DURWIA-3
BUISWA,DURWIA-3
DURDSE,DURWIA-3
FEREOA-4,DURWIA-3
KLELMA-2,DURWIA-3
WOLHMM-3,DURWIA-3
CHECAT-9,DURWIA-3
STAMTA-3,DURWIA-3
FUNTDO-2,DURWIA-3
WILSAA-19,DURWIA-3
ANDIPT-2,DURWIA-3
ANDIPT,DURWIA-3
STEMRL,DURWIA-3
LANCAS-5,DURWIA-3
JONATD,DURWIA-3
DURRTO,DURWIA-3
BOYTCA-6,DURWIA-3
ALVCRF,DURWIA-3
OSLSAE-2,SVEEAT
OSLLTW,SVEEAT
MOSSSM-2,SVEEAT
DRUTSI-3,SVEEAT
EKDEAV,SVEEAT
GRNFWT,SVEEAT
VENEIO,SVEEAT
TORWTS-2,SVEEAT
KEKTPO-2,SVEEAT
BLAEGO,TSATEO-5
HIRTAA-3,TSATEO-5
TREAII-3,TSATEO-5
SOLTLO-10,TSATEO-5
VIGTRT,TSATEO-5
PANTLS-2,TSATEO-5
MENIVA-2,TSATEO-5
POSEOQ,TSATEO-5
MHLDAE,TSATEO-5
RUEJAP-6,TSATEO-5
JIMAAF,TSATEO-5
PAPTLO-6,TSATEO-5
CHEAIS-5,TSATEO-5
NOVAIA,TSATEO-5
TADAMR,TSATEO-5
DELBIA-4,TSATEO-5
STEAAF-9,TSATEO-5
GIOBBA,TSATEO-5
DUAWOC,TSATEO-5
HAEPAP-2,TSATEO-5
BUHDLM,TSATEO-5
TIRWOM,TSATEO-5
CHUSUT,TSATEO-5
KORSRA-2,TSATEO-5
MKAEAO,TSATEO-5
WANWSW-2,TSATEO-5
ROBAII-4,TSATEO-5
FLOTEF,TSATEO-5
CURAAS-4,TSATEO-5
DERAIA,TSATEO-5
ROBAAG-3,TSATEO-5
ANDABD-2,TSATEO-5
AGGITT-2,TSATEO-5
STYAAA,TSATEO-5
ANGTPO-25,TSATEO-5
FUNAAI,TSATEO-5
BHAHAA-3,TSATEO-5
MKATUA,TSATEO-5
CURSSA,TSATEO-5
CHEAIS-4,TSATEO-5
BONIDT,TSATEO-5
BALHPS,TSATEO-5
ALFTIT,TSATEO-5
DENAPT,STOTNT
PIGHTM,STOTNT
TSAWII,STOTNT
DENSCT-2,STOTNT
DENTFO-14,STOTNT
MITRAA-3,STOTNT
KLETIO-9,KLEOMS
MITWRP,KLEOMS
AYLKEA,KLEOMS
KLEATA,KLEOMS
PARNNA-2,KLEOMS
MARHTD-8,KLEOMS
VELTAD-3,KLEOMS
KLEMIA-4,KLEOMS
JONTPO-57,KLEOMS
DOWMIP,KLEOMS
KRSMDT,KLEOMS
KLEEOG,KLEOMS
KLELMA-2,KLEOMS
MICI-23,WIRIBG
STAGFA-4,WIRIBG
STABAT-12,WIRIBG
CAMWCT-2,WIRIBG
BLIMG,WIRIBG
KOVAEI,WIRIBG
THOHTB-4,WIRIBG
SOUTFI,GILJAF
HAMFFW,GILJAF
SOUAAV,GILJAF
SOUTRO-5,GILJAF
SILTTA-5,GILJAF
WIETBA-2,GILJAF
FUMDWH,GILJAF
ARVEJA,GILJAF
WIEAIG-2,GILJAF
CARITF-2,GILJAF
SOUTPO-13,GILJAF
SILTTA-4,GILJAF
ERMAWO,GILJAF
INGMFC,GILJAF
SILMWT-2,GILJAF
GUITCO-8,GILJAF
STETIA-17,GILJAF
ROSBRA-7,GILJAF
LEVEMA-3,GILJAF
ZUOMSO,GILJAF
LAUJIT,GILJAF
GILS-5,GILJAF
MCTJFA,GILJAF
CARPSD-2,GILJAF
LIEBEA-3,GILJAF
LEVTET-7,GILJAF
GILFNA,GILJAF
BAACAF,GILJAF
CECIRA,ASASIL
ASAHCA,ASASIL
TANDRO,ASASIL
TOYRCH-2,ASASIL
RONDMS,ASASIL
IRUTGH,ASASIL
HILWMH,ASASIL
LANCES-3,HOREPA-6
MOFIAE,HOREPA-6
DEBCAC-3,HOREPA-6
CARM-25,HOREPA-6
BYRRR,HOREPA-6
BAUCCO,HOREPA-6
HORIEI,HOREPA-6
GRAOTN-4,HOREPA-6
SCHPEP-8,HOREPA-6
ANGOJC,HOREPA-6
SCHMTO-13,HOREPA-6
PRICAC-4,HOREPA-6
BALSTW-2,HOREPA-6
FARCOT-2,BARCFE-4
SHEDWD,BARCFE-4
BARCFE-5,BARCFE-4
BARHCN-2,BARCFE-4
CABITT,BARCFE-4
JAVHAC,BARCFE-4
FARWSS-2,BARCFE-4
CABIEA,BARCFE-4
BARWMS,BARCFE-4
SKLPOS,BARCFE-4
HEMODP,BARCFE-4
TAYCRA-6,OIMTRG
MIJJUO,OIMTRG
AKMAFR,OIMTRG
CHAACD-7,OIMTRG
WOOAWS-2,OIMTRG
VALFTG,OIMTRG
HOPCEA,OIMTRG
KORWCA,MASSO-3
TAYSSM-8,MASSO-3
VANMQA-3,MASSO-3
BERRSC-2,MASSO-3
HELESA,MASSO-3
STATPO-88,DENSCT-2
MUNCTA,DENSCT-2
MUNCTE,DENSCT-2
RANEBA,DENSCT-2
TSAWII,DENSCT-2
MITCTA-4,DENSCT-2
DUEWDI,DENSCT-2
DENAPT,DENSCT-2
HARWCT-3,DENSCT-2
SHOCTW,DENSCT-2
HARMCM-4,DENSCT-2
PFETAC,DENSCT-2
ESTCBI,DENSCT-2
DENTFO-14,DENSCT-2
KEECTA,DENSCT-2
BABAUI,RUILOC
ZHAWOC,RUILOC
KAPTEO-8,RUILOC
REMIOF,RUILOC
HAUFAC-2,RUILOC
VALTPO-29,RUILOC
SCHPRP-5,RUILOC
DANTEI,WEBCEA
GUPTCO-4,WEBCEA
JANCCE-2,WEBCEA
EWEDGB,WEBCEA
HOGIEO-2,WEBCEA
HAUFPT,WEBCEA
KRACCO-2,WEBCEA
BABAUI,WEBCEA
CALCCR,WEBCEA
KAPTEO-8,WEBCEA
BOBTIO,WEBCEA
WATAET-4,WEBCEA
RISCEH,WEBCEA
WEBDTM,WEBCEA
CHATSO-63,WEBCEA
GASEIA,WEBCEA
ZERCIA,WEBCEA
WEBIAA-2,WEBCEA
STBCFD,WEBCEA
KLECEA-4,WEBCEA
SEIPOT,WEBCEA
GASCAC-2,WEBCEA
GILAIT-12,PUGEND
INEDBS,PUGEND
SMIAOP-4,PUGEND
ZUKRVO,PUGEND
LEULMP,PUGEND
SAWMTE,PUGEND
MUOPDB,PUGEND
PUGCTN,PUGEND
GILIEI-3,PUGEND
THOCIP-3,PUGEND
THOCIP,PUGEND
EMOWBA,PUGEND
THOCIP-2,PUGEND
DEMBIM,PUGEND
LEUIDO-2,PUGEND
GILDTD-3,PUGEND
SNOOTS,PUGEND
RAICTB,PUGEND
POSNDN,PUGEND
MICGEI-4,EMEWIW
FINEOA-4,EMEWIW
MONDOT-7,EMEWIW
HORIEA-4,EMEWIW
WINIBB,EMEWIW
WINIBB-2,EMEWIW
TOMRTB,EMEWIW
DONTEO-17,EMEWIW
BURTEA-11,EMEWIW
NAGUCO,EMEWIW
MICGEI-5,EMEWIW
NIKFET,EMEWIW
TORDTT-2,EMEWIW
JAGIIT-3,EMEWIW
BYRGMD,YADTPO-2
WUDAPJ,YADTPO-2
PRIDSP,YADTPO-2
BOUPOP-3,YADTPO-2
BYRRR,YADTPO-2
KNOPIA-4,YADTPO-2
ANDHDP,YADTPO-2
CONAIT-17,YADTPO-2
CONAIT-11,YADTPO-2
LEEJPP,ENOSRO
GRAWWO-2,ENOSRO
QUABBA,ENOSRO
CHIADS,ENOSRO
FRIEOE-2,ENOSRO
TELP-3,ENOSRO
FRIHWA-2,ENOSRO
WEBPPA-4,ENOSRO
ENODLE,ENOSRO
LANHSC,ENOSRO
CLATNS-3,BECAMR-4
FAVDST,BECAMR-4
CLABTI-3,BECAMR-4
GRETIS-3,BECAMR-4
COETFO-3,BECAMR-4
BECCAV,BECAMR-4
MALTPO-36,BECAMR-4
RANTSV,BECAMR-4
RAFOIB,BECAMR-4
YINEEE,MARAMR-4
WHIAMT-2,MARAMR-4
FERWDW-2,MARAMR-4
MARPOA-8,MARAMR-4
NIKFET,MARAMR-4
HESASR,MARAMR-4
LEESBT-2,BONPWI
SHUDTD,BONPWI
SPRAHI,BONPWI
TIMCQA,BONPWI
PARCBI-2,BONPWI
GOVNEO,BONPWI
VANEOC-13,BONPWI
ELLCFI,BONPWI
BONPMD,BONPWI
GUEUAI-2,KLUBBA
KLUROT-3,KLUBBA
BLIIAS,KLUBBA
LAAHDA,KLUBBA
SCHAAA-64,KLUBBA
FAIDYD,KLUBBA
KLUMLM,KLUBBA
SAFETN,KLUBBA
EGGSAD,EGGQOW
BEISTA-2,EGGQOW
KHAQAP,EGGQOW
LOPQOW,EGGQOW
LADEOS,EGGQOW
WALTSI-3,EGGQOW
DELROT-10,EGGQOW
ALLWII-5,EGGQOW
FRAKOT,EGGQOW
SAAIR,EGGQOW
EGGSRA,EGGQOW
CINOEA,EGGQOW
CALQMI-3,EGGQOW
VEIDPE,VEIEPO
VEIHCA,VEIEPO
VEICAT,VEIEPO
VEIBNA,VEIEPO
VEIMDA,VEIEPO
VEIPAT,VEIEPO
BUTEOE,VEIEPO
VANEHA-6,VEIEPO
WANAOO-2,VEIEPO
HAUPTA-2,CLAETP
MALPAS-3,CLAETP
NAESWD,CLAETP
MICWPP,CLAETP
FASRTE-2,CLAETP
LHRCEP,CLAETP
ALKTDA,CHETPH
DORDTB,CHETPH
CHETWD,CHETPH
JALTTA,CHETPH
CHESD-6,CHETPH
CUFTOS,CHETPH
CHEGWA-2,CHETPH
CHETAA-8,CHETPH
HILTNA-2,CHETPH
CHEFTA,CHETPH
CHENV,CHETPH
HUBATA-3,CHETPH
TORLON,CHETPH
SKLPOS,CHETPH
WANAMC-3,MESWMF
BURMIA-6,MESWMF
XUEOMQ-2,MESWMF
LUACSR,MESWMF
FARSBM,MESWMF
CHEFSB,MESWMF
GREMBO-3,MESWMF
GREMBO-2,MESWMF
LIWSS-2,MESWMF
WANEHA,MESWMF
VRITDS,MESWMF
SOAEID,BATUTN
