Source,Target
PAVFMI,PAVPKF
HOLTWF,PAVPKF
PAVELK-2,PAVPKF
PAVTEO,PAVPKF
CARFKY,PAVPKF
ARRTAP,ARRAIQ-2
ARRTEO-5,ARRAIQ-2
ARRAMD,ARRAIQ-2
ARRTEV,ARRAIQ-2
ARRTMS-3,ARRAIQ-2
ARRTPO-8,ARRAIQ-2
VANHDC-2,PORTSO-12
GROBRI-3,PORTSO-12
BAYCME,PORTSO-12
SHESVA-3,PORTSO-12
FLORBR,PORTSO-12
WESSBI-2,PORTSO-12
CURMQG,PORTSO-12
ENGFAC,PORTSO-12
MANHTC-2,PORTSO-12
MANEAM-4,PORTSO-12
CURHBA-2,PORTSO-12
BONSBE,PORTSO-12
GOFFIB,PORTSO-12
GARRAE-5,PORTSO-12
OVIAIA,PORTSO-12
ERICAT-2,PORTSO-12
COLHUO,PORTSO-12
KVEEAA,FLOAAA-4
GONTAB-2,FLOAAA-4
FACAAA,FLOAAA-4
FREACA-10,FLOAAA-4
BEHNMA-2,FLOAAA-4
VANAAC-10,FLOAAA-4
KLEEOG,FLOAAA-4
FERLLM-8,FLOAAA-4
CANHWT,FLOAAA-4
NYHAIA,FLOAAA-4
ORAAII,FLOAAA-4
COECDT,FLOAAA-4
PETAAT-9,FLOAAA-4
GROTCA-5,FLOAAA-4
FERASM-2,FLOAAA-4
NYHIAE,FLOAAA-4
GUBLLM,FLOAAA-4
FESBAK,FLOAAA-4
ELMTHC,FLOAAA-4
RAYCTT,FLOAAA-4
HOPCEA,FLOAAA-4
SERDHA,FLOAAA-4
LAVTWI,FLOAAA-4
GONIWA,FLOAAA-4
FREEAL-3,FLOAAA-4
BUODWR,FLOAAA-4
BARTAB-14,FLOAAA-4
SLAEAP,MASRPA-4
SARDAP-3,MASRPA-4
CHASPR,MASRPA-4
DERWDE,MASRPA-4
KHAFPA,MASRPA-4
KHARIP,MASRPA-4
KHAPAS,MASRPA-4
POTPAT,MASRPA-4
PANPOE-4,MASRPA-4
WUAASW,SAIRAW
SAITEO-7,SAIRAW
STEIME,SAIRAW
WUOAAL,SAIRAW
BASMOB-2,SAIRAW
ATKDWE-2,SAIRAW
BASMOB-3,SAIRAW
LINDAA-2,LINAII-2
LINATT-3,LINAII-2
FLOSAB-2,LINAII-2
SGAOHP,LINAII-2
HULDDL,LINAII-2
LAZOTS,LINAII-2
RYASEW,PALDMM
TESRTM,PALDMM
CLOTEO-6,PALDMM
BROEMO,PALDMM
FARTES-2,PALDMM
WHIWCA-3,PALDMM
NEIIAM,PALDMM
MILTNO-32,PALDMM
CASNBE-2,PALDMM
PINAIA-5,PALDMM
BRONMP,PALDMM
SPEEAI-2,PALDMM
VEIHCA,VEITOO
VEICAT,VEITOO
VEITAC,VEITOO
VEIDAA,VEITOO
VEIDSY,VEITOO
VEIDTP,VEITOO
VEICLO,VEITOO
MYKBTT,ZAWPTO
ZAWIPB,ZAWPTO
ADAPAA-2,ZAWPTO
ZAWDOT,ZAWPTO
ZAWMTD,ZAWPTO
ZAWPAA-2,ZAWPTO
SIKCCT,SKONCA-2
SKONCA-3,SKONCA-2
SKOPWT,SKONCA-2
SKORSF,SKONCA-2
DEWANF,SKONCA-2
SIKTRT,SKONCA-2
SKOCAT-2,SKONCA-2
SKOTDE,SKONCA-2
SIKAPT,SKONCA-2
PFITAT,SKONCA-2
MIRACA-2,SKONCA-2
FISSCC,SKONCA-2
KERRT,SKONCA-2
POPCC-3,SKONCA-2
VANWAC,SKONCA-2
SKORAC-2,SKONCA-2
LASDRI,SKONCA-2
SHAASO-28,SKONCA-2
DOUCSA-2,SKONCA-2
ROSCAS-5,SKONCA-2
GONTRA-4,FALSET
FLEEPA,FALSET
GUIIQA,FALSET
FALTZY,FALSET
SIEHDL-2,FALSET
BEDIBK,FALSET
DOMUTZ,FALSET
JSPDYH,FALSET
HAZNOI,FALSET
VEIIEI,VEICCA
VEIHCA,VEICCA
VEICAT,VEICCA
VEITAC,VEICCA
VEIHLH,VEICCA
BROTSS-7,VEICCA
VEIPCA,VEICCA
VEITOO,VEICCA
VEIDTP,VEICCA
SMIAOP-4,ZUKDAA
ZUKRVO,ZUKDAA
LZANA,ZUKDAA
BLUTPO-15,ZUKDAA
GILIEI-3,ZUKDAA
KOSREC,ZUKDAA
GILCBD,ZUKDAA
ROSNIT,ZUKDAA
GILDTD-3,ZUKDAA
WAJIRA,ZUKDAA
MUORPO,ZUKDAA
MENHRM,MENIAR
BOUCAI-3,MENIAR
BOUAPT,MENIAR
BOUIIA,MENIAR
MENPAA-8,MENIAR
MENBAS-2,MENIAR
MLLEOA-4,GUNTOQ
HAWCFA,GUNTOQ
JOHWRS,GUNTOQ
COECMA-2,GUNTOQ
COEDKT,GUNTOQ
FRAUAA-4,GUNTOQ
MOOWIM-4,GUNTOQ
REIIIP-2,GUNTOQ
MAMMRS,GUNTOQ
CHAACD-7,GUNTOQ
FLATKI,GUNTOQ
FREMSO,GUNTOQ
HINHPI,GUNTOQ
MLLBII-4,GUNTOQ
GORMSA-6,GUNTOQ
GIRAIA-2,GUNTOQ
RYLOTM,GUNTOQ
MLLIIT,GUNTOQ
LIPWF,GUNTOQ
SWEAFD,GUNTOQ
SCHTHL-6,GUNTOQ
MALWDI,GUNTOQ
RYLCYH,GUNTOQ
DAMFOA,GUNTOQ
COESWT,GUNTOQ
MOSOTM-3,GUNTOQ
FRITFO-13,GUNTOQ
MLLEOA-5,GUNTOQ
CAPSFD-3,GUNTOQ
BERTIT-5,GUNTOQ
DANWRI,GUNTOQ
COEWCA,GUNTOQ
GAUTAB-2,GUNTOQ
HARTMC-8,GUNTOQ
FARHAN-3,GUNTOQ
COEAIR,GUNTOQ
KAUORM,GUNTOQ
MENEAI-2,GUNTOQ
BISSRT,GUNTOQ
SHOTMS,GUNTOQ
PUZRLU,GUNTOQ
ELDHCY,GUNTOQ
BARTUA-10,GUNTOQ
SWEWIH,GUNTOQ
BOYHLA,GUNTOQ
BALERA-3,GUNTOQ
